Senate Vote #77 2014-03-13T15:17:00 - S. 1086 (113th): Child Care and Development Block Grant Act of 2014
person,state,district,vote,name,party
400325,OH,,Yea,Sen. Robert “Rob” Portman [R],Republican
400357,VT,,Yea,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Yea,Sen. Patrick “Pat” Toomey [R],Republican
400412,CO,,Yea,"Sen. Mark Udall [D, 2009-2014]",Democrat
400413,NM,,Yea,"Sen. Tom Udall [D, 2009-2020]",Democrat
400418,LA,,Yea,Sen. David Vitter [R],Republican
400432,MS,,Yea,Sen. Roger Wicker [R],Republican
400546,SD,,Yea,Sen. John Thune [R],Republican
400576,OK,,Nay,"Sen. Thomas Coburn [R, 2005-2014]",Republican
402675,IN,,Yea,Sen. Daniel Coats [R],Republican
412194,CT,,Yea,Sen. Christopher Murphy [D],Democrat
412200,HI,,Yea,Sen. Mazie Hirono [D],Democrat
412205,IN,,Yea,Sen. Joe Donnelly [D],Democrat
412218,NV,,Yea,Sen. Dean Heller [R],Republican
412223,NY,,Yea,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Yea,Sen. Amy Klobuchar [D],Democrat
412243,MO,,Yea,Sen. Claire McCaskill [D],Democrat
412244,MT,,Yea,Sen. Jon Tester [D],Democrat
412246,PA,,Yea,Sen. Robert “Bob” Casey Jr. [D],Democrat
412247,RI,,Yea,Sen. Sheldon Whitehouse [D],Democrat
412248,TN,,Yea,Sen. Bob Corker [R],Republican
412251,WY,,Yea,Sen. John Barrasso [R],Republican
412281,NM,,Yea,Sen. Martin Heinrich [D],Democrat
412320,NE,,Yea,"Sen. Mike Johanns [R, 2009-2014]",Republican
412321,VA,,Yea,"Sen. Mark Warner [D, 2009-2020]",Democrat
412322,ID,,Yea,"Sen. James Risch [R, 2009-2020]",Republican
412323,NH,,Yea,"Sen. Jeanne Shaheen [D, 2009-2020]",Democrat
412324,NC,,Yea,"Sen. Kay Hagan [D, 2009-2014]",Democrat
412325,OR,,Yea,"Sen. Jeff Merkley [D, 2009-2020]",Democrat
412326,AK,,Yea,"Sen. Mark Begich [D, 2009-2014]",Democrat
412330,CO,,Yea,Sen. Michael Bennet [D],Democrat
412378,MN,,Yea,"Sen. Alan “Al” Franken [D, 2009-2020]",Democrat
412390,DE,,Yea,"Sen. Chris Coons [D, 2010-2020]",Democrat
412391,WV,,Yea,Sen. Joe Manchin III [D],Democrat
412471,SC,,Yea,"Sen. Tim Scott [R, 2013-2016]",Republican
412490,CT,,Yea,Sen. Richard Blumenthal [D],Democrat
412491,FL,,Yea,Sen. Marco Rubio [R],Republican
412492,KY,,Yea,Sen. Rand Paul [R],Republican
412493,NH,,Yea,Sen. Kelly Ayotte [R],Republican
412494,ND,,Yea,Sen. John Hoeven [R],Republican
412495,UT,,Nay,Sen. Mike Lee [R],Republican
412496,WI,,Yea,Sen. Ron Johnson [R],Republican
412507,HI,,Yea,"Sen. Brian Schatz [D, 2012-2016]",Democrat
412542,MA,,Yea,Sen. Elizabeth Warren [D],Democrat
412545,ME,,Yea,Sen. Angus King [I],Independent
412554,ND,,Yea,Sen. Heidi Heitkamp [D],Democrat
412556,NE,,Yea,Sen. Deb Fischer [R],Republican
412573,TX,,Yea,Sen. Ted Cruz [R],Republican
412582,VA,,Yea,Sen. Timothy Kaine [D],Democrat
412598,NJ,,Yea,"Sen. Cory Booker [D, 2013-2020]",Democrat
412602,MT,,Yea,"Sen. John Walsh [D, 2014-2014]",Democrat
